,value,date,KeywordID,Keyword
0,0,2004-01-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
1,0,2004-02-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
2,0,2004-03-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
3,0,2004-04-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
4,0,2004-05-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
5,0,2004-06-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
6,0,2004-07-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
7,0,2004-08-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
8,0,2004-09-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
9,0,2004-10-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
10,0,2004-11-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
11,0,2004-12-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
12,0,2005-01-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
13,0,2005-02-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
14,0,2005-03-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
15,0,2005-04-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
16,0,2005-05-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
17,0,2005-06-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
18,0,2005-07-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
19,0,2005-08-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
20,0,2005-09-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
21,0,2005-10-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
22,0,2005-11-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
23,0,2005-12-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
24,0,2006-01-01,2,Pas  Německo +  cestovní pas Německo + Biometrický pas Německo + Pasový úřad  Německo +  pasový orgán Německo + Pass Deutschland + biometrischer Pass Deutschland + Passbehörde Deutschland + passport Germany + biometric passport Germany + passport office Germany
